stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,id,Name
ADELCEN1,"22",Adelaide at Central  NB - #22,,"42.9948","-81.23444",,,,,,false,"4",Central_London
ADELCEN2,"23",Adelaide at Central  SB - #23,,"42.99451","-81.23455",,,,,,false,"4",Central_London
ADELDUN1,"27",Adelaide at Dundas NB - #27,,"42.989214","-81.231686",,,,,,false,"4",Central_London
ADELDUN2,"28",Adelaide at Dundas SB - #28,,"42.988343","-81.231467",,,,,,false,"4",Central_London
ADELHAMI,"36",Adelaide at Hamilton SB - #36,,"42.982275","-81.228829",,,,,,false,"4",Central_London
ADELHIL1,"37",Adelaide at Hill NB - #37,,"42.979827","-81.227608",,,,,,false,"4",Central_London
ADELHIL2,"38",Adelaide at Hill SB - #38,,"42.980363","-81.227992",,,,,,false,"4",Central_London
ADELLISI,"53",Adelaide at Hamilton NB - #53,,"42.982516","-81.228761",,,,,,false,"4",Central_London
ADELLORN,"54",Adelaide at Lorne NB - #54,,"42.992328","-81.233229",,,,,,false,"4",Central_London
ADELMCMA,"57",Adelaide at McMahen NB - #57,,"42.99759","-81.23582",,,,,,false,"4",Central_London
ADELNEL1,"58",Adelaide at Nelson NB - #58,,"42.977567","-81.226683",,,,,,false,"4",Central_London
ADELNEL2,"59",Adelaide at Nelson SB - #59,,"42.977503","-81.226792",,,,,,false,"4",Central_London
ADELPAMA,"69",Adelaide at McMahen SB - #69,,"42.99747","-81.23593",,,,,,false,"4",Central_London
ADELPIC1,"70",Adelaide at Piccadilly NB - #70,,"42.99887","-81.236488",,,,,,false,"4",Central_London
ADELPIC2,"71",Adelaide at Piccadilly SB - #71,,"42.999014","-81.236686",,,,,,false,"4",Central_London
ADELPRIN,"72",Adelaide at Princess SB - #72,,"42.992506","-81.233465",,,,,,false,"4",Central_London
ADELQUEE,"73",Adelaide at Queens SB - #73,,"42.990215","-81.232309",,,,,,false,"4",Central_London
COLBCEN1,"432",Colborne at Central NB - #432,,"42.992777","-81.242853",,,,,,false,"4",Central_London
COLBCEN2,"433",Colborne at Central SB - #433,,"42.992253","-81.242789",,,,,,false,"4",Central_London
COLBDUFF,"434",Colborne at Dufferin SB - #434,,"42.989251","-81.241198",,,,,,false,"4",Central_London
COLBPAM1,"439",Colborne at Pall Mall NB - #439,,"42.994937","-81.243983",,,,,,false,"4",Central_London
COLBPAM2,"440",Colborne at Pall Mall SB - #440,,"42.994842","-81.244053",,,,,,false,"4",Central_London
COLBPRIN,"443",Colborne at Princess NB - #443,,"42.990303","-81.241638",,,,,,false,"4",Central_London
DUFFCOLB,"531",Dufferin at Colborne EB - #531,,"42.988828","-81.241878",,,,,,false,"4",Central_London
DUFFPICT,"532",Dufferin at Picton EB - #532,,"42.987954","-81.244986",,,,,,false,"4",Central_London
DUFFWEL2,"535",Dufferin east of Wellington WB - #535,,"42.987807","-81.245999",,,,,,false,"4",Central_London
DUNDADE1,"537",Dundas at Adelaide EB - #537,,"42.98857","-81.2323",,,,,,false,"4",Central_London
DUNDADE2,"538",Dundas at Adelaide WB - #538,,"42.98876","-81.23217",,,,,,false,"4",Central_London
DUNDCOL1,"552",Dundas at Colborne EB - #552,,"42.986356","-81.239964",,,,,,false,"4",Central_London
DUNDCOL2,"553",Dundas at Colborne WB - #553,,"42.986632","-81.239501",,,,,,false,"4",Central_London
DUNDMAI1,"585",Dundas at Maitland EB - #585,,"42.987275","-81.237054",,,,,,false,"4",Central_London
DUNDMAI2,"586",Dundas at Maitland WB - #586,,"42.987404","-81.236751",,,,,,false,"4",Central_London
DUNDRIDO,"600",Dundas at Ridout EB - #600,,"42.982377","-81.254162",,,,,,false,"4",Central_London
DUNDWAT1,"614",Dundas east of Waterloo EB - #614,,"42.985819","-81.241849",,,,,,false,"4",Central_London
DUNDWAT2,"615",Dundas at Waterloo WB - #615,,"42.985855","-81.242283",,,,,,false,"4",Central_London
DUNDWEL2,"620",Dundas at Wellington WB - #620,,"42.985046","-81.245045",,,,,,false,"4",Central_London
DUNDWIL1,"623",Dundas at William EB - #623,,"42.988001","-81.234357",,,,,,false,"4",Central_London
DUNDWIL2,"624",Dundas at William WB - #624,,"42.988167","-81.234044",,,,,,false,"4",Central_London
GREYCOLB,"804",Grey at Colborne WB - #804,,"42.979241","-81.236529",,,,,,false,"4",Central_London
GREYWATE,"805",Grey at Waterloo WB - #805,,"42.978687","-81.238647",,,,,,false,"4",Central_London
HAMIADE1,"845",Hamilton at Adelaide EB - #845,,"42.981991","-81.228831",,,,,,false,"4",Central_London
HAMIADE2,"846",Hamilton at Adelaide WB - #846,,"42.982041","-81.228328",,,,,,false,"4",Central_London
HORTHAMI,"966",Horton at Hamilton WB - #966,,"42.982727","-81.233841",,,,,,false,"4",Central_London
HORTMAIT,"967",Horton at Maitland EB - #967,,"42.982411","-81.234569",,,,,,false,"4",Central_London
HORTRIC2,"969",Horton at Richmond WB - #969,,"42.97894","-81.247975",,,,,,false,"4",Central_London
HORTRID1,"970",Horton at Ridout EB - #970,,"42.977825","-81.251008",,,,,,false,"4",Central_London
HORTWAT2,"977",Horton at Waterloo WB - #977,,"42.981101","-81.239838",,,,,,false,"4",Central_London
HORTWELL,"978",Horton at Wellington EB - #978,,"42.980351","-81.242012",,,,,,false,"4",Central_London
KINGRICH,"1086",King at Richmond EB - #1086,,"42.9826","-81.2486",,,,,,false,"4",Central_London
OXFOGEO1,"1298",Oxford at St. George EB - #1298,,"42.994743","-81.255576",,,,,,false,"4",Central_London
OXFOGEO2,"1299",Oxford at St. George WB - #1299,,"42.994758","-81.255944",,,,,,false,"4",Central_London
OXFORIC1,"1333",Oxford at Richmond EB - #1333,,"42.995586","-81.252763",,,,,,false,"4",Central_London
OXFOTAL1,"1350",Oxford at Talbot EB - #1350,,"42.993941","-81.258169",,,,,,false,"4",Central_London
OXFOTAL2,"1351",Oxford at Talbot WB - #1351,,"42.994224","-81.257846",,,,,,false,"4",Central_London
OXFOWEL1,"1356",Oxford at Wellington EB - #1356,,"42.996041","-81.251186",,,,,,false,"4",Central_London
QUEECLAR,"1442",Queens at Clarence Station WB - #1442,,"42.98575","-81.2479",,,,,,false,"4",Central_London
QUENRIDO,"1443",Queens at Ridout Station WB - #1443,,"42.98368","-81.254207",,,,,,false,"4",Central_London
RICHCENT,"1463",Richmond at Central SB - #1463,,"42.990176","-81.250873",,,,,,false,"4",Central_London
RICHDUF2,"1467",Richmond at Dufferin SB - #1467,,"42.98696","-81.250781",,,,,,false,"4",Central_London
