route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → HIGBMAGE → HALEMAGE → TWEECOU2 → DUNDFIR1 → OXFOHIG2 → DUNDFIR2 → HIGBBEA1 → HALEDOU1 → HALEDOU2 → CHEABRA1 → BARKHURO → HUROFRAS → HUROWEDG → HUROADE4 → WINDADE2 → WINDDOO2 → WINDDOO4 → WINDDOO3 → HUROHIG1 → HIGBOXF1 → DUNDHIG1 → DUNDHIG2 → HIGBBRY2 → ADELADA1,Adelaide at Ada NB - #20 → Highbury at Magee NB - #921 → Hale at Magee SB - #837 → Tweedsmuir at Court Lane East WB - #1810 → Dundas at First EB - #566 → Oxford at Highbury WB - #1308 → Dundas east of First WB - #567 → Highbury at Beattie NB - #893 → Hale at Doulton NB - #831 → Hale at Burslem SB - #832 → Cheapside at Brampton EB - #351 → Barker at Huron SB - #176 → Huron at Fraser WB - #1006 → Huron at Wedgewood WB - #1024 → Huron west of Adelaide WB - #997 → Windermere at Adelaide WB - #2077 → Windermere at Doon Dr  2 WB - #2080 → Windermere at Doon Dr 1 WB - #2082 → 655 - 665 Windermere EB - #2081 → Huron west of Highbury EB - #2241 → Highbury south of Oxford NB - #922 → Dundas at Highbury  EB - #577 → Dundas at Highbury WB - #578 → Highbury at Brydges SB - #896 → Adelaide at Ada NB - #20,25,29.88
Route_2,ADELADA1 → ADELMAUD → WILLOSG1 → WILLDEAR → SOUTMIL6 → WILLOSG2 → SOUTNOD2 → MAINCAMP → SOUTNOD4 → WILTSIS2 → SISEGVA2 → MILLBEX1 → ADELADA1,Adelaide at Ada NB - #20 → Adelaide at Maud NB - #56 → Willow at Osgoode  EB - #2069 → Willow at Dearness EB - #2068 → Southdale West of Millbank WB - #1690 → Willow at Osgoode WB - #2070 → Southdale East of Notre Dame WB - #1695 → Main at Campbell EB - #2518 → Southdale West of Notre Dame WB - #1696 → 990 Wilton Grove WB - #2303 → Sise at Green Valley NS SB - #2490 → 687 Millbank - #1175 → Adelaide at Ada NB - #20,13,29.97
Route_3,ADELADA1 → RIDOCRA2 → SPRIKER1 → COMMSTEP → SPRIJAR2 → COMMSPR1 → COMMLYN4 → COMMNOT1 → WHARDEVO → EMERPHY2 → WHARBYR1 → WESTHOL1 → ADELADA1,Adelaide at Ada NB - #20 → Ridout at Craig SB - #1538 → Springbank at Kernohan Parkway EB - #1742 → Commissioners at Stephen WB - #482 → Springbank at Jarvis St WB - #1741 → Commissioners at Springbank Park EB - #479 → Opposite St George's Parish - #468 → Commissioners west of Nottinghill EB - #473 → Wharncliffe at Devonshire  NB - #2029 → Emery at Phyllis WB - #648 → Wharncliffe at Byron NB - #2022 → Western at Hollywood Cres NB - #1992 → Adelaide at Ada NB - #20,13,29.95
Route_4,ADELADA1 → HIGHCHE2 → CHIDWILK → SANDWIL2 → EDENNIX → WHITOMA4 → HOLIEXET → SHOLEXE2 → SHOLJAL1 → JALNCOLE → JALNERI1 → JALNCHES → ERNEMUR3 → ERNEPAUL → WHARCAST → WHARWDAL → WHARTEC2 → WELLGRA2 → ADELADA1,Adelaide at Ada NB - #20 → High at Chester SB - #932 → Chiddington at Wilkins NB - #390 → Sandringham at Wilkins SB - #1627 → Eden at Nixon WB - #628 → White Oaks Mall Stop 4 - #2063 → Holiday at Exeter SB - #954 → Sholto at Exeter SB - #1659 → Sholto at Jalna Blvd NB - #1660 → Jalna at Colette NB - #1050 → Jalna at Erica NB - #1051 → Jalna at Cheswick Circle NB - #1048 → Ernest at Muriel NB - #666 → Ernest at Pauline SB - #667 → Wharncliffe at Castle Rock SB - #2751 → Wharncliffe at Westdale SB - #2056 → Wharncliffe at Tecumseh SB - #2055 → Wellington at Grand SB - #1943 → Adelaide at Ada NB - #20,19,20.07
Route_5,ADELADA1 → HORTWELL → HORTWHA4 → HORTWHA2 → OXFOGUI3 → VISCVIGR → SOUTSING → WESTMAL2 → WHARCOM1 → WESTMAL1 → JALNERI2 → ERNEELVI → WILKCHI2 → WILKCHI1 → COMMHIG2 → WELLCHES → ADELADA1,Adelaide at Ada NB - #20 → Horton at Wellington EB - #978 → Horton west of Wharncliffe 2 WB - #982 → Horton west of Wharncliffe WB - #980 → Oxford at Guildwood Gate WB - #1306 → Viscount at Village Green WB - #1888 → Southdale at Singleton NS EB - #2748 → Westmount Mall at Stop 2 - #1998 → Wharncliffe at Commissioners NB - #2026 → Westmount Mall at Stop 1 - #1997 → Jalna at Erica north SB - #1052 → Ernest at Elvira SB - #658 → Wilkins at Chiddington Gate SB - #2067 → Wilkins at Chiddington Gate NB - #2066 → Commissioners at High EB - #2804 → Wellington at Chester NB - #1929 → Adelaide at Ada NB - #20,17,29.62
Route_6,ADELADA1 → PARKMAEN → PARKWEC2 → JALNJOS4 → WHARSOUT → NOTRBELM → WONDPOWR → WHARWON2 → NOTRVIS2 → COMMTOP1 → VISCGAL3 → COMMVISC → CRANCOMM → COMMSPR4 → COMMSPR2 → BERKROB1 → WHAREME2 → WHAREME1 → CATHLANG → RIDOBAKE → ADELADA1,Adelaide at Ada NB - #20 → Parkwood Hospital Main Entrance WB - #1373 → Parkwood Hospital at  Western Counties Rd WB - #1376 → Jalna south of Josselyn SB - #1062 → Wharncliffe & Southdale NS SB - #2594 → Notre Dame at Belmont NB - #2589 → Wonderland & Power Centre Driveway - #2596 → Wharncliffe at Southbridge SB - #2595 → Notre Dame at Viscount NB - #2592 → Commissioners at Topping Lane WB - #2466 → Viscount at Galloway Cr NS NB - #1878 → Commissioners at Viscount EB - #483 → Cranbrook at Commissioners NB - #487 → Commissioners at Springbank Park WB - #481 → Commissioners & Springbank Dr WB - #480 → Berkshire at Robin NB - #242 → Wharncliffe at Emery SB - #2034 → Wharncliffe at Emery NB - #2033 → Cathcart at Langarth NB - #339 → Ridout at Baker NB - #1531 → Adelaide at Ada NB - #20,21,29.27
Route_7,ADELADA1 → KAINOXFN → COMMGRA2 → RIVEHAR2 → RIVEHAR3 → KAINRIVE → BEAVWOND → BEAVOXF2 → HORTSPRI → ADELADA1,Adelaide at Ada NB - #20 → Kains at Oxford NB - #2543 → Commissioners at Grandview EB - #2535 → Riverside at Hartson east WB - #1582 → Riverside at Hartson west EB - #1583 → Kains at Riverbend WB - #2545 → Beaverbrook at Wonderland WB - #228 → Beaverbrook at Oxford SB - #227 → Horton at Springbank WB - #2683 → Adelaide at Ada NB - #20,10,29.87
Route_8,ADELADA1 → WELLWELL → HIGHEME2 → COMMWORT → SOUTWHA1 → SOUTWHA3 → UPPECOM2 → BEACBAS2 → WHARELM2 → RIVEBEA2 → RIVEWHA1 → WHARRIG2 → WHARTEC1 → WHARBYR2 → WHARMOIR → WHARMPL1 → WHARPAUL → WHAROXF1 → WHARMPL2 → WHARWYAT → RIVEWIL2 → KINGTALB → RICHQUE1 → RICHSIM1 → ADELADA1,Adelaide at Ada NB - #20 → Wellington at Wellington Cres SB - #1974 → High at Emery SB - #934 → Commissioners at Wortley WB - #2815 → Southdale West of Wharncliffe  EB - #1706 → Southdale East of Wharncliffe EB - #1708 → Upper Queens at Commissioners Rd SB - #1827 → Beachwood at Base Line SB - #223 → Wharncliffe at Elmwood SB - #2032 → Riverside east of Beaverbrook WB - #1565 → Riverside at Wharncliffe EB - #1600 → Wharncliffe at The Ridgeway SB - #2051 → Wharncliffe at Tecumseh NB - #2054 → Wharncliffe at Byron  SB - #2023 → Wharncliffe at Moir NB - #2043 → Wharncliffe at Mount Pleasant NB - #2044 → Wharncliffe at Paul SB - #2049 → Wharncliffe at Oxford NB - #2046 → Wharncliffe at Mt. Pleasant Ave SB - #2045 → Wharncliffe at Wyatt SB - #2057 → Riverside at Wilson WB - #1603 → King at Talbot Station EB - #2736 → Richmond north of Queens SB - #2741 → Richmond at Simcoe NB - #1509 → Adelaide at Ada NB - #20,25,24.41
Route_9,ADELADA1 → ADELHIL2 → ADELQUEE → ADELPIC1 → ADELHUR1 → ADELVIC2 → CHEABOU2 → HIGBKIL2 → HUROSAN1 → BECKTUDO → CULVCLA1 → CULVCLA4 → INDUOXFO → INDUPAG1 → DUNDMANI → MARCWOOD → CLARCHA2 → HAMIMEA3 → HAMISAC1 → ADELADA1,Adelaide at Ada NB - #20 → Adelaide at Hill SB - #38 → Adelaide at Queens SB - #73 → Adelaide at Piccadilly NB - #70 → Adelaide at Huron  NB - #39 → Adelaide at Victoria SB - #88 → Cheapside at Boullee WB - #350 → Highbury at Kilally SB - #915 → Huron at Sandford EB - #1015 → Beckworth at Tudor EB - #233 → Clarke at Culver SB - #492 → Culver at Clarke WB - #494 → Industrial at Oxford NB - #1034 → Industrial north of Page 1 NB - #1035 → Dundas at Calgary EB - #587 → Marconi at Woodview WB - #2671 → Clarke at Charterhouse SB - #396 → Hamilton east of Meadowlilly EB - #867 → Hamilton at Sackville EB - #879 → Adelaide at Ada NB - #20,20,25.78
Route_10,ADELADA1 → VICZONC → SOUTMONT → WHITOMA3 → SOUTADE2 → SOUTDUL1 → JALNJOS2 → JALNPON1 → ADELSDAL → MILLSDA2 → JALNARC5 → ASHBSUR2 → BESSHAR1 → WILTSIS4 → WELLDEAR → BRADJAL2 → JALNBRA3 → WELLWAT2 → WELLWAT1 → VICTLOT9 → ADELADA1,Adelaide at Ada NB - #20 → Victoria Hospital & Zone A EB - #2284 → Southdale at Montgomery WB - #2878 → White Oaks Mall Stop 3 - #2060 → Southdale at Adelaide WB - #1667 → Southdale at Dulaney Dr. EB - #1673 → Jalna north of Josselyn SB - #1061 → Jalna at Ponderosa NB - #1065 → Adelaide at Southdale SB - #77 → Millbank at Southdale SB - #1189 → Jalna south of Archer 2 SB - #2598 → Ashbury at Surrey Cres SB - #171 → Bessemer at Hargrieve NB - #253 → Wilton Grove at Sise Rd WB - #2075 → Wellington at Dearness NB - #1935 → Bradley west of Jalna WB - East Leg - #2793 → Jalna north of Bradley NB - #1046 → Wellington at Waterman SB - #1972 → Wellington at Waterman NB - #1971 → Victoria Hospital Cancer Centre SB - #1855 → Adelaide at Ada NB - #20,21,25.49
