route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → HAMITENN → HIGBTRA2 → CLARWAV1 → DUNDEAS3 → ROBHILEB → WAVEEDM1 → HUDSTRAF → WAVEDUN6 → INDUPAG1 → INDUOXFO → CULVCLA1 → HUDSJOLI → HUDSFROB → CLARWHI2 → WAVEVANC → ADELADA1,Adelaide at Ada NB - #20 → Hamilton at Tennyson EB - #885 → Highbury at Trafalgar SB - #927 → Clarke Road Secondary School - #420 → Dundas east of Eastwood EB - #557 → 15700 Robins Hill Road EB - #2941 → Wavell at Edmonton St EB - #1907 → Hudson at Trafalgar NB - #993 → Wavell at Dundas SB - #1906 → Industrial north of Page 1 NB - #1035 → Industrial at Oxford NB - #1034 → Clarke at Culver SB - #492 → Hudson at Joliet NB - #992 → Hudson at Frobisher EB - #991 → Clarke at Whitney SB - #2212 → Wavell at Vancouver St. EB - #1916 → Adelaide at Ada NB - #20,17,29.53
Route_2,ADELADA1 → HAMIMAME → DUNDDORI → DUNDFIR1 → CHEABOU2 → OXFOSTE1 → OXFOSPIT → MORNOXF4 → PROUOXF3 → BEAVHOR2 → AZIZWEST → AMBEHILL → RICHVIC1 → RICHKEN2 → RICHKEN1 → SOUTWEL3 → SOUTHOSP → ADELADA1,Adelaide at Ada NB - #20 → Hamilton at Mamelon EB - #865 → Dundas at Burbrook Station WB - #554 → Dundas at First EB - #566 → Cheapside at Boullee WB - #350 → Oxford at Sterling EB - #1346 → Oxford at Spittal EB - #1345 → 600 Mornington SB - #1216 → Proudfoot south of Oxford NB - #1432 → Beaverbrook at Horizon EB - #2417 → Philip Aziz at Western NB - #2785 → Ambleside at Hillside NS SB - #2783 → Richmond at Victoria NB - #1514 → Richmond at Kent SB - #1489 → Richmond at Angel NB - #1488 → South at Wellington St EB - #1705 → South at Colborne EB - #2276 → Adelaide at Ada NB - #20,18,27.11
Route_3,ADELADA1 → SANDVER2 → SANDWIL2 → WHARWDAL → WOODEDI2 → BARKKIPP → GLENRID1 → ADELGLEN → BARKMEL1 → BARKMELS → HIGBKIL2 → HIGHTOW1 → BARKHURO → ADELADA1,Adelaide at Ada NB - #20 → Sandringham at Verulam WB - #1626 → Sandringham at Wilkins SB - #1627 → Wharncliffe at Westdale SB - #2056 → Woodward at Edinburgh SB - #2143 → Barker at Kipps NS NB - #2787 → Glenora at Rideau EB - #2843 → Adelaide at Glenora NB - #33 → Barker at Melsandra FS NB - #2788 → Barker at Melsandra NS SB - #2789 → Highbury at Kilally SB - #915 → Highbury at Townsend NB - #2712 → Barker at Huron SB - #176 → Adelaide at Ada NB - #20,14,27.74
Route_4,ADELADA1 → WHARBYR1 → CAPUBLSM → WONDOXF4 → BYBABELV → EXETMEA2 → WHITBRA1 → JALNBEM2 → JALNBRA1 → EXETMEG → JALNARC5 → ERNEFEN1 → WELLWAT2 → WELLWAT1 → ADELADA1,Adelaide at Ada NB - #20 → Wharncliffe at Byron NB - #2022 → Capulet Lane at Blacksmith SB - #321 → Wonderland South of Oxford SB - #2118 → Byron Baseline at Belvedere EB - #314 → Exeter at Meadowbrook NS WB - #2823 → White Oak Road south of Bradley SB - #2898 → Jalna at Beechmount SB - #1043 → 1102 Jalna - #1044 → Exeter at Meg EB - #670 → Jalna south of Archer 2 SB - #2598 → Ernest at Fennel NB - #659 → Wellington at Waterman SB - #1972 → Wellington at Waterman NB - #1971 → Adelaide at Ada NB - #20,15,29.5
Route_5,ADELADA1 → RIDOCRA2 → WHARBAS2 → SOUTSWCC → TOPPCOM1 → SOUTGAR1 → SOUTBAS2 → GARDBER1 → BASECOTS → WONDVIS4 → ANDOCOM1 → VISCGAL2 → WHARBAS1 → WHARTEC1 → WHARRIG2 → RIVEWHA4 → ADELCHE2 → ADELDUN1 → ADELADA1,Adelaide at Ada NB - #20 → Ridout at Craig SB - #1538 → Wharncliffe at BaseLine NS SB - #2016 → Southdale at SW Community Centre EB - #2769 → Topping Lane at Commissioners NB - #2770 → Southcrest at Gardenwood Dr WB - #2766 → Southcrest at Base Line EB - #2765 → Gardenwood at Berkshire NB - #759 → Base Line at Cotswold WB - #2605 → Wonderland at Viscount Rd SB - #2305 → Andover at Commissioners NB - #154 → Viscount South of Galloway Cr SB - #1877 → Wharncliffe & Base Line FS NB - #2015 → Wharncliffe at Tecumseh NB - #2054 → Wharncliffe at The Ridgeway SB - #2051 → Riverside West of Wharncliffe WB - #1601 → Adelaide at Cheapside SB - #25 → Adelaide at Dundas NB - #27 → Adelaide at Ada NB - #20,19,26.9
Route_6,ADELADA1 → RICHHOT1 → WHAROXF1 → WHARLEXI → WHARMOIR → WHARMPL1 → WHARTEC2 → SOUTWHOK → WHITEXE3 → WHITOMA1 → WHITOMA2 → MEGEXE1 → BRADJAL1 → BRADERN2 → BRADERN1 → BRADJAL2 → HIGVFER1 → CHIDWILK → ADELTHO1 → ADELADA1,Adelaide at Ada NB - #20 → Richmond north of Horton NB - #1478 → Wharncliffe at Oxford NB - #2046 → Wharncliffe at Lexington  SB - #2041 → Wharncliffe at Moir NB - #2043 → Wharncliffe at Mount Pleasant NB - #2044 → Wharncliffe at Tecumseh SB - #2055 → Southdale at White Oak Sideroad EB - #1710 → White Oak Road at Exeter NS 2 SB - #2905 → White Oaks Mall Stop 2 - #2061 → White Oaks Mall Stop 1 - #2062 → Meg at Exeter NB - #1168 → Bradley at Jalna FS EB - West Leg - #2792 → Bradley west of Ernest 2 WB - #2791 → Bradley west of Ernest WB - #2790 → Bradley west of Jalna WB - East Leg - #2793 → Highview at Ferndale NB - #943 → Chiddington at Wilkins NB - #390 → Adelaide at Thompson NB - #82 → Adelaide at Ada NB - #20,20,24.69
Route_7,ADELADA1 → DUNDENGL → BECKLANG → OAKVHURO → FANSMCL3 → FANSGLE3 → KIPPADEL → HUROWEDG → HUROFRAS → RICHPAR2 → WONDSER2 → WONDWHI1 → SARNALD1 → WHAREMPR → ADELADA1,Adelaide at Ada NB - #20 → Dundas at English WB - #565 → Beckworth at Langton EB - #230 → Oakville at Huron NB - #1245 → Fanshawe at Stackhouse EB - #2470 → Fanshawe at Glenora EB - #2469 → Kipps at Adelaide EB - #1093 → Huron at Wedgewood WB - #1024 → Huron at Fraser WB - #1006 → Richmond at Parkdale Ave SB - #1497 → Sherwood Forest Mall SB - #2988 → Wonderland at Whiteacres NB - #2989 → Sarnia at Aldersbrook EB - #1635 → Wharncliffe at Blackfriars NB - #2035 → Adelaide at Ada NB - #20,15,28.98
Route_8,ADELADA1 → COMMBEA1 → VALEDER1 → SPRIJAR2 → BOLEGRIF → GRIFBBA2 → OXFORIV1 → RIVEOXF1 → GRIFCOMM → OXFOGUI1 → VALEOAKR → VALEOPK2 → HORTWHA3 → GRANHIG4 → ADELADA1,Adelaide at Ada NB - #20 → Commissioners at Beachwood WB - #2461 → Valetta at Deer Park EB - #2458 → Springbank at Jarvis St WB - #1741 → Boler at Griffith NB - #279 → Griffith at Byron Baseline SB - #808 → Oxford east of Riverbend EB - #2974 → Riverbend at Oxford SB - #2975 → Griffith at Commissioners SB - #811 → Oxford at Guildwood Gate EB - #1304 → Valetta at Oakridge Dr EB - #1841 → Valetta at Oak Park EB - #1843 → Horton west of Wharncliffe EB - #981 → 84 Grand WB - #792 → Adelaide at Ada NB - #20,15,29.58
Route_9,ADELADA1 → THOMCHE1 → MEADGOOD → MEADREA3 → BRYDHAL1 → INDUPAG3 → DUNDBEA2 → DUNDBUR2 → DUNDFIR2 → ADMIBON1 → ADMIVAU1 → GOREBRA2 → TRAFCLA1 → HAMIFAI1 → PONDAILS → ADELADA1,Adelaide at Ada NB - #20 → Thompson at Chesterfield  EB - #1779 → Meadowgate at Goodfellow SB - #2484 → Meadowgate at Reardon SB - #2485 → Brydges at Hale EB - #305 → Industrial north of Page 2 NB - #1036 → Dundas at Beatrice WB - #544 → Dundas at Second WB - #546 → Dundas east of First WB - #567 → Admiral at Bonaventure EB - #93 → Admiral at Vaubois EB - #101 → Gore at Braesyde EB - #2646 → Trafalgar at Clarke Rd EB - #1791 → Hamilton at Fairmont WB - #2656 → Pond Mills at Ailsa SB - #1399 → Adelaide at Ada NB - #20,16,28.47
Route_10,ADELADA1 → KINGTALB → RICHDUF2 → WHAROXF2 → OXFORAT2 → OXFORAT1 → WONDATT1 → FANSRIC5 → PHILBIL3 → PHILBIL2 → FANSADE1 → FANSSTAC → FANSSTO1 → ADELWIN1 → FANSTRO4 → BARKHUR1 → DUNDCOL2 → YORKWAT1 → ADELADA1,Adelaide at Ada NB - #20 → King at Talbot Station EB - #2736 → Richmond at Dufferin SB - #1467 → Wharncliffe at Oxford SB - #2047 → Oxford at Rathowen WB - #1332 → Oxford at Rathowen EB - #1331 → Wonderland at Attawandaron NB - #2982 → Fanshawe at Richmond WB - #2832 → Phillbrook at Billybrook NB 2 - #2714 → Phillbrook at Billybrook NB 1 - #2713 → Fanshawe at Adelaide EB - #682 → Fanshawe at Stackhouse WB - #2734 → Fanshawe at Stoneybrook East EB - #711 → Adelaide at Windermere NB - #89 → Fanshawe at Trossacks FS WB - #2834 → Barker at Huron NB - #2786 → Dundas at Colborne WB - #553 → York at Waterloo EB - #2172 → Adelaide at Ada NB - #20,19,28.74
