route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → FANSADE1 → ADELFAN2 → ADELTENN → ADELGLEN → REGEMAIT → MAITREGE → REGEWILL → WILLREGE → ADELREG1 → ADELHUR2 → HUROADE4 → ADELHUR1 → HUROADE6 → RICHCHE2 → RICHCHE1,Adelaide at Ada NB - #20 → Fanshawe at Adelaide EB - #682 → Adelaide at Fanshawe Pk Rd SB - #32 → Adelaide at Tennant NB - #80 → Adelaide at Glenora NB - #33 → Regent at Maitland WB - #1455 → Maitland at Regent SB - #1132 → Regent at William EB - #1456 → William at Regent SB - #2071 → Adelaide at Regent NB - #74 → Adelaide at Huron SB - #40 → Huron west of Adelaide WB - #997 → Adelaide at Huron  NB - #39 → 648 Huron - #998 → Richmond at Cheapside SB - #1465 → Richmond at Cheapside NB - #1464,16,16.95
Route_2,ADELADA1 → COMMHILD → COMMWHA1 → COMMWHAR → WHARCOM1 → WHARCOM2 → COMMWHA2 → COMMGRD2 → COMMGRD1 → COMMHUXL → COMMVISC → VISCCOM2 → COMMWES1 → COMMAND1 → ANDOCOM1 → ANDOCOM2 → COMMBEA1 → COMMBEA2 → BEACBAS2 → BEACBAS1 → BASEWES3 → BASECOTS → BASEWES1 → BASEWES4 → WELLCOLG,Adelaide at Ada NB - #20 → Commissioners at Highland WB - #2807 → Commissioners at Wharncliffe FS EB - #2813 → COMMISSIONERS & WHARNCLIF - #2312 → Wharncliffe at Commissioners NB - #2026 → Wharncliffe at Commissioners SB - #2027 → Commissioners at Wharncliffe WB - #2814 → Commissioners at Gordon WB - #457 → Commissioners at Gordon EB - #456 → Commissioners at Huxley WB - #461 → Commissioners at Viscount EB - #483 → Viscount AT Commissioners SB - #1872 → Commissioners at West WB - #2759 → Commissioners at Andover EB - #2758 → Andover at Commissioners NB - #154 → Andover at Commissioners SB - #155 → Commissioners at Beachwood WB - #2461 → Commissioners west of Beachwood EB - #2462 → Beachwood at Base Line SB - #223 → Beachwood at Base Line NB - #222 → Base Line west of West St  EB - #213 → Base Line at Cotswold WB - #2605 → Base Line east of West St  EB - #211 → 90 Base Line WB - #214 → Wellington at Colgrove Pl SB - #1930,25,10.07
Route_3,ADELADA1 → WONDROSE → SPRIWES3 → SPRIWES1 → SPRIWES4 → SPRICOM2 → SPRICOM1 → COMMSPR2 → COMMNOR1 → VISCVIGR → WESTMAL2 → WESTMAL3 → WESTMAL4,Adelaide at Ada NB - #20 → Wonderland at Rosecliffe Terr. SB - #2124 → Springbank at Westmount EB - #1752 → 928 Springbank EB - #1750 → Springbank West of Westmount WB - #1753 → Springbank at Commissioners WB - #1734 → Springbank at Commissioners W EB - #1733 → Commissioners & Springbank Dr WB - #480 → Commissioners at North EB - #471 → Viscount at Village Green WB - #1888 → Westmount Mall at Stop 2 - #1998 → Westmount Mall at Stop 3 - #1999 → Westmount Mall at Stop 4 - #2436,13,17.26
Route_4,ADELADA1 → DUNDMAI2 → CHEAWAT1 → CHEAWAT2 → HUROWAT1 → HUROWAT2 → HUROCOLB → HUROFRAS → ADELKIP6 → ADELHUR5 → KIPPBELF → ADELKIP1 → ADELKIP2,Adelaide at Ada NB - #20 → Dundas at Maitland WB - #586 → Cheapside at Waterloo EB - #364 → Cheapside at Waterloo WB - #365 → Huron at Waterloo EB - #1019 → Huron at Waterloo WB - #1020 → Huron at Colborne EB - #1005 → Huron at Fraser WB - #1006 → Adelaide south of Kipps Lane 2 SB - #47 → Opposite 1145 Adelaide NB - #42 → Kipps at Belfield EB - #1096 → Adelaide north of Kipps Lane  NB - #43 → Adelaide north of Kipps Lane SB - #44,13,11.8
Route_5,ADELADA1 → STANWORT → PROUBEA2 → PROUOXF1 → PROUFAR2 → PROUFAR3 → FARRPROU → PROUFAR1 → PROUBEA3 → BEAVPROU → BEAVHORI → BEAVHOR2 → BEAVWOND → WONDBEA1 → WONDBEA2 → BEAVBLYT → CAPUBLSM → OXFOHYD2 → OXFOROY1 → HYDEOXF2 → OXFOGUI1 → OXFOFRE1 → OXFOJUNI → FOREHIL1 → FOREHIL2,Adelaide at Ada NB - #20 → Stanley at Wortley EB - #1760 → Proudfoot at Beaverbrook WB - #1424 → Proudfoot north of Oxford NB - #1430 → Proudfoot at Farrah SB - #1428 → Proudfoot at Farrah NB - #1429 → Farrah at Proudfoot EB - #717 → Proudfoot north of Farrah NB - #1427 → Proudfoot at Beaverbrook SB - #1425 → Beaverbrook at Proudfoot EB - #2418 → Beaverbrook at Horizon WB - #225 → Beaverbrook at Horizon EB - #2417 → Beaverbrook at Wonderland WB - #228 → Wonderland at Beaverbrook NB - #2097 → Wonderland at Beaverbrook Ave SB - #2098 → Beaverbrook at Blythwood WB - #224 → Capulet Lane at Blacksmith SB - #321 → Oxford at Hyde Park WB - #1312 → Oxford at Royal York EB - #1337 → Hyde Park at Oxford SB - #1030 → Oxford at Guildwood Gate EB - #1304 → Oxford at Freele EB - #1294 → Oxford at Juniper EB - #1316 → Proudfoot at Forest Hills EB - #2341 → Proudfoot at Forest Hills WB - #2342,25,17.54
Route_6,ADELADA1 → WELLBAS1 → WHARLEGE → EXETBREC → EXETWHIT → WHITEXE2 → WHITEXE1 → WHITDOWE → WHITDOW2 → WHITDOW1 → BRADJAL3 → JALNBRA7 → BRADJAL1 → BRADERN2 → ERNEPAUL → BRADWIL1 → BRADAGN2 → NEWBBESS → BRADADE3 → ADELOSG3,Adelaide at Ada NB - #20 → Wellington South of Baseline NB - #1923 → Wharncliffe & Legendary FS SB - #2593 → Exeter at Breck FS 1 EB - #2822 → Exeter at White Oak Road WB - #2827 → White Oak Road at Exeter NS 1 SB - #2904 → White Oak Road at Exeter 2 NB - #2903 → White Oak Road at Dowell NS NB - #2902 → White Oak Road at Dowell NS SB - #2901 → White Oak Road at Dowell FS NB - #2900 → Bradley west of Jalna WB - West Leg - #2794 → Jalna south of Bradley NB - #2242 → Bradley at Jalna FS EB - West Leg - #2792 → Bradley west of Ernest 2 WB - #2791 → Ernest at Pauline SB - #667 → Bradley at Willow 1 EB - #298 → Bradley at Willow 1 WB - #293 → Newbold at Bessemer EB - #1229 → Bradley at Adelaide EB - #2203 → Adelaide at NE Osgoode NB - #62,20,16.11
Route_7,ADELADA1 → PONDBRA4 → PONDBUC4 → PONDENT2 → ENTEPOM1 → ENTEMID1 → ENTEHUBR → HUBRENT4 → HUBRWIL2 → WILTMIDP → WILTPMI4 → WILTPMI2 → WILTSIS2 → WILTSIS4 → SISEWIG2 → SISEGVA2 → ROXBCAS2 → ROXBWEL2 → HOLIEXET → WELLEXE2 → WELLEXE1 → EXETWEL1 → BES1EXET → BESSHAR1 → BESSBES3,Adelaide at Ada NB - #20 → Pond Mills south of Bradley 2 SB - #2262 → Pond Mills at Buchanan SB - #1405 → Pond Mills at Enterprise SB - #1413 → Enterprise at Pond Mills EB - #653 → Enterprise at Midpark EB - #652 → Enterprise at Hubrey EB - #651 → Hubrey at Enterprise south SB - #988 → Hubrey at Wilton Grove SB - #989 → Wilton Grove & Midpark Rd WB - #2297 → Wilton Grove East of Pondmills WB - #2300 → Wilton Grove West of Pond Mills WB - #2299 → 990 Wilton Grove WB - #2303 → Wilton Grove at Sise Rd WB - #2075 → Sise at Wilton Grove FS SB - #2492 → Sise at Green Valley NS SB - #2490 → Roxburgh at Castleton WB - #2488 → Roxburgh at Wellington WB - #1608 → Holiday at Exeter SB - #954 → Wellington at Exeter SB - #1941 → Wellington at Exeter NB - #1940 → Exeter at Wellington EB - #672 → Bessemer at Exeter NB - #250 → Bessemer at Hargrieve NB - #253 → Bessemer at Bessemer Crt 2 NB - #252,25,16.52
Route_8,ADELADA1 → WELLALEX → HIGHEME2 → HIGVWHA2 → HIGVWHA3 → HIGVWHA4 → HIGVWHA1 → HIGVROS2 → HIGVROS1 → SOUTWHA4 → SOUTWHA3 → WHARSOUT → SOUTWHA1 → SOUTWHA2 → SOUTNOD3 → SOUTNOD2 → NOTRSDAL → SOUTNOD1 → JALNFAI2 → JALNAUGU → ERNEFINC → ERNEFEN1 → ERNEFEN2 → BRADWOPS → JALNBRA4,Adelaide at Ada NB - #20 → Wellington & Alexandra St NB - #1922 → High at Emery SB - #934 → 90 Highview - #950 → 89 Highview - #2236 → Highview at Wharncliffe WB - #951 → Highview at Wharncliffe EB - #949 → Highview at Rossmore Crt SB - #946 → Highview at Rossmore Crt NB - #945 → Southdale East of Wharncliffe WB - #1709 → Southdale East of Wharncliffe EB - #1708 → Wharncliffe & Southdale NS SB - #2594 → Southdale West of Wharncliffe  EB - #1706 → Southdale West of Wharncliffe WB - #1707 → Southdale East of Notre Dame Dr EB - #2337 → Southdale East of Notre Dame WB - #1695 → Notre Dame at Southdale NB - #2591 → Southdale West of Notre Dame Dr  EB - #1694 → Jalna at Fairchild WB - #1059 → Jalna at Augusta WB - #1039 → Ernest at Finch SB - #661 → Ernest at Fennel NB - #659 → Ernest at Fennel SB - #660 → White Oaks Elementary School - #2206 → Jalna south of Bradley SB - #1047,25,15.3
Route_9,ADELADA1 → TRAFSTE2 → TRAFSTE1 → TRAFTHO2 → TRAFTHO1 → TRAFVAN2 → TRAFVAN1 → TRAFBALF → TRAFDAWN → ADMIKIP1 → ADMICAR1 → ADMIVAU1 → ADMIBON1 → ADMIKIP3 → CLARTRA2 → CLARTRA1 → TRAFCLA2 → CLARTRA4 → CLARCHA1 → MARCNOEL → BOWBANC → HUDSBAFF → HUDSFROB → TRAFHUD2 → HUDSTRAF,Adelaide at Ada NB - #20 → Trafalgar at Stevenson Ave WB - #1800 → Trafalgar at Stevenson Ave EB - #1799 → Trafalgar at Thorne WB - #1802 → Trafalgar at Thorne Ave EB - #1801 → Trafalgar at Vancouver  WB - #1804 → Trafalgar at Vancouver  EB - #1803 → Trafalgar at Balfour Place EB - #1789 → Trafalgar at Dawn WB - #1794 → 319 Admiral - #97 → Admiral at Carlyle EB - #95 → Admiral at Vaubois EB - #101 → Admiral at Bonaventure EB - #93 → Admiral at Kipling EB - #99 → Clarke north of Trafalgar SB - #418 → Clarke north of Trafalgar NB - #417 → Trafalgar at Clarke Rd WB - #1792 → Clarke south of Trafalgar SB - #419 → Clarke at Charterhouse NB - #395 → Marconi at Noel SB - #1137 → Bow at Bancroft EB - #290 → Hudson at Baffin Place EB - #990 → Hudson at Frobisher EB - #991 → Trafalgar at Hudson  WB - #1796 → Hudson at Trafalgar NB - #993,25,16.47
Route_10,ADELADA1 → EMERPHY2 → ANDOVIG1 → ANDOVIG2 → ANDONOVE → ANDOELMG → WONDVIS3 → WONDVIS2 → CRANHIMO → CRANVIS2 → VISCCRAN → VISCDUN2 → VISCFARN → WESTMAL1 → WONDVIS4 → VISCWON2 → VISCWON3 → VISCFOXM → VISCSTEE → VISCGARD → VISCPIVA → ANDOVIS2 → ANDOVIS3 → VISCTAV1 → HIGHWIN3,Adelaide at Ada NB - #20 → Emery at Phyllis WB - #648 → Andover at Village Green NB - #160 → Andover at Village Green SB - #161 → Andover at Novello NB - #158 → Andover at Elmgrove Cr SB - #156 → 780 Wonderland Rd NB - #2139 → Wonderland at Viscount NS1 SB - #2138 → Cranbrook at Hillsmount NB - #488 → Cranbrook & Viscount NB - #2625 → Viscount at Cranbrook WB - #1873 → Viscount at Dunsmoor EB - #2633 → Viscount at Farnham Rd WB - #1874 → Westmount Mall at Stop 1 - #1997 → Wonderland at Viscount Rd SB - #2305 → Viscount East of Wonderland WB - #1890 → Viscount East of Wonderland EB - #1891 → Viscount at Foxmill Cr WB - #1875 → Viscount at Steeplechase EB - #1884 → Viscount at Gardenvale WB - #1879 → Viscount at Pine Valley Dr EB - #1883 → Andover at Viscount SB - #163 → Andover north of Viscount  NB - #164 → Viscount at Tavistock Rd NB - #1885 → High at Windsor Cres NB - #941,25,15.59
