Date,Trip_Count
2021-11-18,71051
2021-11-19,70951
2021-11-20,28530
2021-11-21,22466
2021-11-22,56030
2021-11-23,56321
2021-11-24,56632
2021-11-25,56132
2021-11-26,55732
2021-11-27,30049
2021-11-28,23870
2021-11-29,58491
2021-11-30,59029
2021-12-01,59077
2021-12-02,57787
2021-12-03,57674
2021-12-04,24882
2021-12-05,19725
2021-12-06,48923
2021-12-07,49240
2021-12-08,40065
2021-12-09,37973
2021-12-10,35496
2021-12-11,30420
2021-12-12,22753
2021-12-13,53562
2021-12-14,50738
2021-12-15,48312
2021-12-16,44624
2021-12-17,41762
2021-12-18,12628
2021-12-19,15423
2021-12-20,35330
2021-12-21,32975
2021-12-22,30346
2021-12-23,29187
2021-12-24,28908
2021-12-25,15580
2021-12-26,12269
2021-12-27,29878
2021-12-28,17862
2021-12-29,17421
2021-12-30,28365
2021-12-31,28195
2022-01-01,9030
2022-01-02,11763
2022-01-03,17559
2022-01-04,17346
2022-01-05,17435
2022-01-06,17253
2022-01-07,16829
2022-01-08,19627
2022-01-09,15431
2022-01-10,37884
2022-01-11,37978
2022-01-12,37648
2022-01-13,36999
2022-01-14,36888
2022-01-15,19691
2022-01-16,15259
2022-01-17,37994
2022-01-18,37767
2022-01-19,63240
2022-01-20,61463
2022-01-21,60832
2022-01-22,32724
2022-01-23,25678
2022-01-24,63046
2022-01-25,63031
2022-01-26,63284
2022-01-27,61474
2022-01-28,61019
2022-01-29,32802
2022-01-30,25745
2022-01-31,63264
2022-02-01,63327
2022-02-02,63060
2022-02-03,61460
2022-02-04,61028
2022-02-05,32739
2022-02-06,25616
2022-02-07,62867
2022-02-08,63332
2022-02-09,63191
2022-02-10,61487
2022-02-11,61077
2022-02-12,32806
2022-02-13,25548
2022-02-14,63179
2022-02-15,63140
2022-02-16,63157
2022-02-17,61718
2022-02-18,61030
2022-02-19,32809
2022-02-20,25642
2022-02-21,63800
2022-02-22,64818
2022-02-23,64684
2022-02-24,63339
2022-02-25,63376
2022-02-26,34146
2022-02-27,26582
2022-02-28,65664
2022-03-01,65782
2022-03-02,65750
2022-03-03,64650
2022-03-04,63934
2022-03-05,34369
2022-03-06,26950
2022-03-07,66245
2022-03-08,66595
2022-03-09,66625
2022-03-10,64958
2022-03-11,64214
2022-03-12,34758
2022-03-13,27224
2022-03-14,67155
2022-03-15,67161
2022-03-16,67180
2022-03-17,66649
2022-03-18,66608
2022-03-19,36091
2022-03-20,28504
2022-03-21,71091
2022-03-22,71743
2022-03-23,72392
2022-03-24,71256
2022-03-25,71712
2022-03-26,39015
2022-03-27,30722
2022-03-28,76356
2022-03-29,77025
2022-03-30,77605
2022-03-31,77204
2022-04-01,77136
2022-04-02,31163
2022-04-03,24672
2022-04-04,61960
2022-04-05,62349
2022-04-06,62769
2022-04-07,61370
2022-04-08,61711
2022-04-09,33443
2022-04-10,21136
2022-04-11,51101
2022-04-12,49930
2022-04-13,48332
2022-04-14,45912
2022-04-15,43936
2022-04-16,23092
2022-04-17,17250
2022-04-18,41611
2022-04-19,39858
2022-04-20,38206
2022-04-21,36213
2022-04-22,34223
2022-04-23,17697
2022-04-24,13292
2022-04-25,31479
2022-04-26,29929
2022-04-27,28494
2022-04-28,26414
2022-04-29,33091
2022-04-30,16843
2022-05-01,12101
2022-05-02,29729
2022-05-03,29702
2022-05-04,29696
2022-05-05,28981
2022-05-06,28684
2022-05-07,11539
2022-05-08,9000
2022-05-09,29651
2022-05-10,29691
2022-05-11,29722
2022-05-12,28944
2022-05-13,28610
2022-05-14,11640
2022-05-15,9043
2022-05-16,22355
2022-05-17,22267
2022-05-18,22274
2022-05-19,21565
2022-05-20,21542
2022-05-21,11631
2022-05-22,9005
2022-05-23,22424
2022-05-24,22303
2022-05-25,22287
2022-05-26,21805
2022-05-27,21606
2022-05-28,11433
2022-05-29,9061
2022-05-30,22557
2022-05-31,22399
2022-06-01,22286
2022-06-02,21656
2022-06-03,21536
2022-06-04,11604
2022-06-05,9036
2022-06-06,22266
2022-06-07,22428
2022-06-08,22244
2022-06-09,28928
2022-06-10,28496
2022-06-11,11444
2022-06-12,12030
2022-06-13,29721
2022-06-14,22317
2022-06-15,22255
2022-06-16,21735
2022-06-17,21541
2022-06-18,11562
2022-06-19,8883
2022-06-20,21546
2022-06-21,20676
2022-06-22,20729
2022-06-23,20241
2022-06-24,20135
2022-06-25,10629
2022-06-26,8311
2022-06-27,19888
2022-06-28,19868
2022-06-29,26639
2022-06-30,19496
2022-07-01,19012
2022-07-02,10359
2022-07-03,8159
2022-07-04,26642
2022-07-05,26366
2022-07-06,26578
2022-07-07,25823
2022-07-08,25482
2022-07-09,13877
2022-07-10,7776
2022-07-11,19283
2022-07-12,19392
2022-07-13,19358
2022-07-14,19340
2022-07-15,19275
2022-07-16,13774
2022-07-17,10770
2022-07-18,26445
2022-07-19,25875
2022-07-20,25815
2022-07-21,19005
2022-07-22,19077
2022-07-23,10204
2022-07-24,7936
2022-07-25,19905
2022-07-26,19825
2022-07-27,19718
2022-07-28,19296
2022-07-29,25697
2022-07-30,13810
2022-07-31,10716
2022-08-01,26461
2022-08-02,26558
2022-08-03,26474
2022-08-04,19258
2022-08-05,25473
2022-08-06,10459
2022-08-07,10766
2022-08-08,26414
2022-08-09,26600
2022-08-10,26471
2022-08-11,25739
2022-08-12,26511
2022-08-13,14202
2022-08-14,11143
2022-08-15,27595
2022-08-16,27482
2022-08-17,27617
2022-08-18,26841
2022-08-19,26605
2022-08-20,14229
2022-08-21,11204
2022-08-22,27526
2022-08-23,27499
2022-08-24,27600
2022-08-25,28131
2022-08-26,27839
2022-08-27,15043
2022-08-28,11705
2022-08-29,28888
2022-08-30,29680
2022-08-31,29688
2022-09-01,72964
2022-09-02,54081
2022-09-03,29211
2022-09-04,22792
2022-09-05,56150
2022-09-06,55975
2022-09-07,55981
2022-09-08,54648
2022-09-09,54093
2022-09-10,29200
2022-09-11,22676
2022-09-12,55898
2022-09-13,55913
2022-09-14,55790
2022-09-15,54674
2022-09-16,54035
2022-09-17,29224
2022-09-18,22626
2022-09-19,55958
2022-09-20,56310
2022-09-21,55973
2022-09-22,54448
2022-09-23,54184
2022-09-24,29057
2022-09-25,22680
2022-09-26,55932
2022-09-27,55992
2022-09-28,56280
2022-09-29,54920
2022-09-30,54253
2022-10-01,29144
2022-10-02,22649
2022-10-03,56185
2022-10-04,56444
2022-10-05,56213
2022-10-06,72889
2022-10-07,53967
2022-10-08,29118
2022-10-09,22793
2022-10-10,55995
2022-10-11,74833
2022-10-12,74729
