route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → YORKWAT1 → ADELCEN1 → CLARWAV1 → CULVCLA4 → CULVCLA1 → CRUMPAGE → WAVESASK → WAVEVANC → 1030CLAR → MARCWOOD → HIGBBRY2 → ADELADA1,Adelaide at Ada NB - #20 → York at Waterloo EB - #2172 → Adelaide at Central  NB - #22 → Clarke Road Secondary School - #420 → Culver at Clarke WB - #494 → Clarke at Culver SB - #492 → Crumlin at Page NB - #490 → Wavell at Saskatoon St WB - #1915 → Wavell at Vancouver St. EB - #1916 → 1030 Clarke Road NB - #2929 → Marconi at Woodview WB - #2671 → Highbury at Brydges SB - #896 → Adelaide at Ada NB - #20,13,30.0
Route_2,ADELADA1 → EDWATECU → WONDPOWR → DALHMCM1 → WHARCOM2 → GARDBER1 → SOUTBAS2 → SOUTGAR1 → OAKCMAP2 → SARNALD2 → WONDBEA2 → WHARRIG2 → WHARMCDO → RIVEWIL1 → BRUCMARL → ADELADA1,Adelaide at Ada NB - #20 → Edward at Tecumseh SB - #640 → Wonderland & Power Centre Driveway - #2596 → Dalhousie south of McMaster SB - #2761 → Wharncliffe at Commissioners SB - #2027 → Gardenwood at Berkshire NB - #759 → Southcrest at Base Line EB - #2765 → Southcrest at Gardenwood Dr WB - #2766 → Oakcrossing at Mapleridge south - #2408 → Sarnia at Aldersbrook WB - #1636 → Wonderland at Beaverbrook Ave SB - #2098 → Wharncliffe at The Ridgeway SB - #2051 → Western at Essex SB - #2042 → Riverside at Wilson EB - #1602 → Bruce at Marley Place EB - #303 → Adelaide at Ada NB - #20,16,27.57
Route_3,ADELADA1 → HORTRID1 → FOREHIL2 → SPRIJAR2 → SPRIWES1 → WONDOXF4 → WONDOXF1 → OXFOROY2 → OXFOROY1 → HYDEFIG1 → HYDEFIG2 → HYDEIVAN → HYDEOXF2 → HYDEOXF1 → RIVESAN2 → HYDERIVE → VALEOPK2 → EDWAHIWY → WHARBAS1 → ADELADA1,Adelaide at Ada NB - #20 → Horton at Ridout EB - #970 → Proudfoot at Forest Hills WB - #2342 → Springbank at Jarvis St WB - #1741 → 928 Springbank EB - #1750 → Wonderland South of Oxford SB - #2118 → Wonderland North of Oxford  NB - #2115 → Oxford at Royal York WB - #1338 → Oxford at Royal York EB - #1337 → Hyde Park at Fiddlers Green NB - #1026 → Hyde Park at Fiddlers Green SB - #1027 → Hyde Park at Ivanhill NB - #1028 → Hyde Park at Oxford SB - #1030 → Hyde Park south of Oxford NB - #1029 → Riverside at Sanatorium WB - #1593 → Hyde Park at Riverside NB - #1031 → Valetta at Oak Park EB - #1843 → Edward at Highway SB - #637 → Wharncliffe & Base Line FS NB - #2015 → Adelaide at Ada NB - #20,20,29.66
Route_4,ADELADA1 → PARKWEC2 → WILLOSG2 → PARKMAEN → WILLDEAR → OSGOBRE1 → OSGOKIN2 → WHITOMA2 → WHITOMA1 → SHOLJAL1 → WILTSIS2 → JALNJOS1 → WILKCHI1 → WILKCHI2 → WELLBAS3 → WELLPERC → WELLBOND → ADELADA1,Adelaide at Ada NB - #20 → Parkwood Hospital at  Western Counties Rd WB - #1376 → Willow at Osgoode WB - #2070 → Parkwood Hospital Main Entrance WB - #1373 → Willow at Dearness EB - #2068 → Osgoode at Breckenridge EB - #1251 → Osgoode at Kinburn WB - #1255 → White Oaks Mall Stop 1 - #2062 → White Oaks Mall Stop 2 - #2061 → Sholto at Jalna Blvd NB - #1660 → 990 Wilton Grove WB - #2303 → Jalna at Josselyn NB - #1060 → Wilkins at Chiddington Gate NB - #2066 → Wilkins at Chiddington Gate SB - #2067 → Wellington at Baseline Rd FS NB - #2911 → Wellington at Percy SB - #1958 → Wellington at Bond  NB - #1925 → Adelaide at Ada NB - #20,18,21.7
Route_5,ADELADA1 → ADELHIL2 → ADELDUFR → DUNDENGL → DUNDCOL2 → KINGBUR4 → RICHKEN2 → RICHUNI1 → WONDBEA1 → BERKGAR4 → WESTMAL1 → BEACBAS2 → OXFORAT1 → WELLDUN3 → HORTCOL2 → ADELADA1,Adelaide at Ada NB - #20 → Adelaide at Hill SB - #38 → Adelaide at Dufferin SB - #2690 → Dundas at English WB - #565 → Dundas at Colborne WB - #553 → King at Burwell Station WB - #2978 → Richmond at Kent SB - #1489 → Richmond at University NB - #1512 → Wonderland at Beaverbrook NB - #2097 → Berkshire north of Gardenwood SB - #241 → Westmount Mall at Stop 1 - #1997 → Beachwood at Base Line SB - #223 → Oxford at Rathowen EB - #1331 → Wellington at King Station NB - #1939 → Horton at Colborne EB - #2240 → Adelaide at Ada NB - #20,16,25.21
Route_6,ADELADA1 → WHAREMPR → WONDSAR2 → OXFOPRO1 → WONDLAW2 → WONDSAR5 → WONDLAW1 → BEAVWILR → OXFOHYD1 → SPRIKER1 → HIGVWHA1 → ADELADA1,Adelaide at Ada NB - #20 → Wharncliffe at Blackfriars NB - #2035 → Wonderland South of Sarnia  SB - #2322 → Oxford at Proudfoot Lane EB - #1327 → Wonderland at Lawson SB - #2986 → Wonderland North of Sarnia NB - #2987 → Wonderland at Lawson NB - #2985 → Beaverbrook at Wild Rose WB - #2388 → Oxford at Hyde Park EB - #1311 → Springbank at Kernohan Parkway EB - #1742 → Highview at Wharncliffe EB - #949 → Adelaide at Ada NB - #20,12,23.47
Route_7,ADELADA1 → RICHGREY → STANWHAR → HORTWHA3 → OXFOFRE2 → VALEOAKR → HYDENRN1 → BEAVWOND → BEAVOXF2 → WESTPLA2 → WHARMPL1 → WHARRIG1 → WHARTEC2 → WHARCOM1 → ADELADA1,Adelaide at Ada NB - #20 → Richmond at Grey SB - #1475 → Stanley at Wharncliffe EB - #1759 → Horton west of Wharncliffe EB - #981 → Oxford at Freele WB - #1295 → Valetta at Oakridge Dr EB - #1841 → Hyde Park at North Routledge Park NB - #2685 → Beaverbrook at Wonderland WB - #228 → Beaverbrook at Oxford SB - #227 → Western at Platts Lane SB - #2002 → Wharncliffe at Mount Pleasant NB - #2044 → Wharncliffe at The Ridgeway NB - #2050 → Wharncliffe at Tecumseh SB - #2055 → Wharncliffe at Commissioners NB - #2026 → Adelaide at Ada NB - #20,15,26.49
Route_8,ADELADA1 → RICHKIN4 → CHERCHBL → ALDEGAI1 → KAINRIVE → FANSWON3 → FANSFOX1 → SARNTHIS → WHARMOIR → OXFOWHA2 → ADELADA1,Adelaide at Ada NB - #20 → Richmond at King SB - #2740 → Cherryhill at Cherryhill Blvd WB - #371 → Aldersbrook at Gainsborough NB - #126 → Kains at Riverbend WB - #2545 → Fanshawe west of Wonderland WB - #2756 → Fanshawe at Foxwood EB - #2755 → Sarnia at Thistledown Way WB - #1645 → Wharncliffe at Moir NB - #2043 → Oxford at Wharncliffe WB - #1359 → Adelaide at Ada NB - #20,11,29.93
Route_9,ADELADA1 → GRANHIG4 → WHARTEC1 → SPRIBER1 → BYBABELV → VALEWOO1 → GRIFCOMM → GRIFBOLE → CRANBAR3 → TILLSOU2 → TOPPCOM1 → WONDPVA2 → WONDPVA1 → COMMCAR2 → RIDOBAS2 → ADELADA1,Adelaide at Ada NB - #20 → 84 Grand WB - #792 → Wharncliffe at Tecumseh NB - #2054 → Springbank at Berkshire Dr FS 1 EB - #1728 → Byron Baseline at Belvedere EB - #314 → Valetta at Woodborough St EB - #1849 → Griffith at Commissioners SB - #811 → Griffith at Boler EB - #810 → Cranbrook at Barclay NB - #2621 → Tillman at Southdale NB - #2631 → Topping Lane at Commissioners NB - #2770 → Wonderland at Pine Valley Blvd SB - #2120 → Wonderland at PineValley Gate NB - #2119 → Commissioners at Carnegie WB - #2803 → Ridout at Baseline SB - #1533 → Adelaide at Ada NB - #20,16,29.98
Route_10,ADELADA1 → DUFFPICT → RICHMILL → RICHOXF1 → CHEAWAT2 → HIGH1550 → HUROFRAS → FANSSTO2 → ADELWIN2 → SUNNCANV → ADELKIP2 → MCNAROC2 → OXFOQUE2 → OXFOLYMA → DUNDDORI → ADELLISI → ADELADA1,Adelaide at Ada NB - #20 → Dufferin at Picton EB - #532 → Richmond at Mill SB - #1493 → Richmond at Oxford NB - #1494 → Cheapside at Waterloo WB - #365 → 1550 Highbury NB - #2710 → Huron at Fraser WB - #1006 → Fanshawe at Stoneybrook East WB - #712 → Adelaide at Windermere SB - #90 → Sunningdale at Canvas Way WB - #2750 → Adelaide north of Kipps Lane SB - #44 → McNay at Rock SB - #1161 → Oxford at Quebec WB - #1330 → Oxford at Lyman WB - #1319 → Dundas at Burbrook Station WB - #554 → Adelaide at Hamilton NB - #53 → Adelaide at Ada NB - #20,17,29.9
