route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → RICHOXF1 → ADELWIN2 → DOONMUS2 → DOONSUNY → DOONCAIT → DOONRAV2 → PERTWIN1 → PERTWIN2 → WESTWIN1 → WESTAMB1 → WESTAMB2 → RICHWES3 → RICHWEST → RICHSHAV → FANSNCR4 → MASOSTO2 → MASOSTO3 → MASOSTO4 → FANSRIC1 → FANSNCR1 → FANSNCR2 → RICHCANT → RICHWES4 → MIDDPERT,Adelaide at Ada NB - #20 → Richmond at Oxford NB - #1494 → Adelaide at Windermere SB - #90 → Doon at Muskoka Cres SB - #522 → Doon at Sunnyside WB - #525 → Doon at Caithness Ct EB - #520 → Doon at Ravine Ridge Way WB - #523 → Perth Dr at Windermere NB - #1378 → Perth at Windermere SB - #1379 → Windermere at Western EB - #2772 → Western at Ambleside Dr NB - #1983 → Western at Ambleside Dr SB - #1984 → Richmond at Western 2 SB - #2876 → Richmond at Western NB - #2877 → Richmond at Shavian SB - #1508 → Fanshawe east of North Centre WB - #707 → Masonville Place Stop #2 - #1141 → Masonville Place Stop #3 - #1142 → Masonville Place Stop #4 - #1143 → Fanshawe east of Richmond EB - #709 → Fanshawe west of North Centre EB - #704 → Fanshawe west of North Centre WB - #705 → Richmond at Canterbury NB - #1460 → 1548 Richmond - #1519 → Talbot College - #1173,25,18.69
Route_2,ADELADA1 → RICHGRO1 → HUROCOLB → HUROFRAS → ADELHUR2 → MAITREGE → REGEWILL → WILLREGE → HUROADE4 → ADELHUR1 → ADELKIP6 → ADELHUR5 → ADELKIP2 → WINDADE1 → LAMBMID1 → DELAHALL → DELAHAL2 → RICHCHE2,Adelaide at Ada NB - #20 → Richmond at Grosvenor NB - #1476 → Huron at Colborne EB - #1005 → Huron at Fraser WB - #1006 → Adelaide at Huron SB - #40 → Maitland at Regent SB - #1132 → Regent at William EB - #1456 → William at Regent SB - #2071 → Huron west of Adelaide WB - #997 → Adelaide at Huron  NB - #39 → Adelaide south of Kipps Lane 2 SB - #47 → Opposite 1145 Adelaide NB - #42 → Adelaide north of Kipps Lane SB - #44 → 703 Windermere EB - #2076 → Talbot College NB - #1104 → Delaware Hall NB - #510 → Delaware Hall SB - #509 → Richmond at Cheapside SB - #1465,18,15.65
Route_3,ADELADA1 → WELLALEX → HIGHCHE1 → RIDOMOU2 → COMMWORT → COMMCAR2 → COMMHILD → COMMWHA1 → COMMWHAR → COMMWHA2 → COMMVISC → COMMAND1 → ANDOCOM1 → ANDOCOM2 → COMMBEA1 → COMMBEA2 → BEACBAS2 → BEACBAS1 → BASEWES3 → BASECOTS → BASEWES1 → BASEWES4 → BASEMGR1 → WHARTEC2 → RIDOTEC1,Adelaide at Ada NB - #20 → Wellington & Alexandra St NB - #1922 → High at Chester NB - #931 → Ridout at Mountsfiled SB - #1553 → Commissioners at Wortley WB - #2815 → Commissioners at Carnegie WB - #2803 → Commissioners at Highland WB - #2807 → Commissioners at Wharncliffe FS EB - #2813 → COMMISSIONERS & WHARNCLIF - #2312 → Commissioners at Wharncliffe WB - #2814 → Commissioners at Viscount EB - #483 → Commissioners at Andover EB - #2758 → Andover at Commissioners NB - #154 → Andover at Commissioners SB - #155 → Commissioners at Beachwood WB - #2461 → Commissioners west of Beachwood EB - #2462 → Beachwood at Base Line SB - #223 → Beachwood at Base Line NB - #222 → Base Line west of West St  EB - #213 → Base Line at Cotswold WB - #2605 → Base Line east of West St  EB - #211 → 90 Base Line WB - #214 → Base Line at McGregor EB - #196 → Wharncliffe at Tecumseh SB - #2055 → Ridout at Tecumseh NB - #1555,25,10.52
Route_4,ADELADA1 → BRADJAL1 → JALNBRA7 → JALNCONW → JALNCHES → WHITBRA1 → WHITDOW1 → WHITDOW2 → WHITDOWE → WHITEXE1 → WHITEXE2 → WHITEXET → WHITEXE3 → EXETBRE1 → EXETWHIT → EXETBREC → EXETBRE2 → EXETMEA5 → EXETWOND → EXETWON1 → WONDWHAR → WONDWHA2 → WONDBRA3 → WHARWON2 → WHARMOR2,Adelaide at Ada NB - #20 → Bradley at Jalna FS EB - West Leg - #2792 → Jalna south of Bradley NB - #2242 → Jalna at Conway NB - #2243 → Jalna at Cheswick Circle NB - #1048 → White Oak Road south of Bradley SB - #2898 → White Oak Road at Dowell FS NB - #2900 → White Oak Road at Dowell NS SB - #2901 → White Oak Road at Dowell NS NB - #2902 → White Oak Road at Exeter 2 NB - #2903 → White Oak Road at Exeter NS 1 SB - #2904 → White Oak Road at Exeter NB - #2906 → White Oak Road at Exeter NS 2 SB - #2905 → Exeter at Breck FS 2 EB - #2820 → Exeter at White Oak Road WB - #2827 → Exeter at Breck FS 1 EB - #2822 → Exeter at Breck NS WB - #2821 → Exeter at Meadowbrook FS 2 EB - #2826 → Exeter at Wonderland FS EB - #2829 → Exeter at Wonderland FS WB - #2828 → Wonderland at Wharncliffe NB - #2528 → Wonderland & Wharncliffe FS 2 NB - #2610 → Wonderland at Bradley NS NB - #2752 → Wharncliffe at Southbridge SB - #2595 → Wharncliffe at Morgan NS SB - #2961 ,25,17.0
Route_5,ADELADA1 → COMMTOP2 → COMMTOP1 → COMMFOE1 → COMMFOE2 → WONDVIL1 → WONDVIS3 → WONDVIS2 → WONDVIS4 → VISCWON1 → WESTMAL1 → WESTMAL2 → WESTMAL5 → WESTMAL3 → WESTMAL6 → WESTMAL4 → WONDVIL2 → WONDCOM1 → WONDCOM2 → WONDCOM3 → WONDTEE1 → WONDROSE → WONDSPRI → OXFOCAP2 → BEAVWOND,Adelaide at Ada NB - #20 → Commissioners at Topping Lane EB - #2467 → Commissioners at Topping Lane WB - #2466 → Commissioners at Forest Edge WB - #2464 → Commissioners at Forest Edge EB - #2465 → Wonderland at Village Green NB - #2135 → 780 Wonderland Rd NB - #2139 → Wonderland at Viscount NS1 SB - #2138 → Wonderland at Viscount Rd SB - #2305 → Saunders Secondary School EB - #1889 → Westmount Mall at Stop 1 - #1997 → Westmount Mall at Stop 2 - #1998 → Westmount Mall at Stop 5 - #2437 → Westmount Mall at Stop 3 - #1999 → Westmount Mall at Stop 6 - #2438 → Westmount Mall at Stop 4 - #2436 → Wonderland at Village Green Ave SB - #2136 → Wonderland South of Commissioners NB - #2100 → Wonderland at Commissioners SB - #2101 → Wonderland North of Commissioners NB - #2102 → Wonderland at Teeple Terrace NB - #2134 → Wonderland at Rosecliffe Terr. SB - #2124 → Wonderland at Springbank SB - #2323 → Oxford at Capulet Lane WB - #1269 → Beaverbrook at Wonderland WB - #228,25,17.58
Route_6,ADELADA1 → BASEFAI3 → BRADDEAR → BRADWEL3 → JALNBRA1 → JALNBRA4 → SHOLEXE1 → SHOLEXE2 → EXETSHOL → EXETMEG → JALNARC5 → MEGEXE1 → MEGEXE2 → JALNAUGU → JALNFAI2 → JALNFAI1 → CHIDCHID,Adelaide at Ada NB - #20 → Base Line west of Fairview EB - #190 → Bradley at Dearness WB - #294 → Bradley east of Wellington Rd EB - #297 → 1102 Jalna - #1044 → Jalna south of Bradley SB - #1047 → Sholto at Exeter NB - #1658 → Sholto at Exeter SB - #1659 → Exeter at Sholto WB - #671 → Exeter at Meg EB - #670 → Jalna south of Archer 2 SB - #2598 → Meg at Exeter NB - #1168 → Meg at Exeter SB - #1169 → Jalna at Augusta WB - #1039 → Jalna at Fairchild WB - #1059 → 1559 Jalna NB - #1058 → Chiddington Ave at Chiddington Gt SB - #384,17,13.02
Route_7,ADELADA1 → HUROBARK → BARKHUR1 → BARKHURO → MELSSUSS → BARKMELS → BARKMEL1 → KIPPBARK → BARKKIPP → KIPPARBO → KIPPBRIA → BRIAMEL2 → MELSBRIA → MCNAMEL2 → SANDHUR2 → OXFOTHI2 → THIROFO2 → WAVEDUN4 → WAVECAS2 → WAVECAS1 → MARCTRA2,Adelaide at Ada NB - #20 → Huron at Barker WB - #999 → Barker at Huron NB - #2786 → Barker at Huron SB - #176 → Melsandra at Sussex WB - #1171 → Barker at Melsandra NS SB - #2789 → Barker at Melsandra FS NB - #2788 → Kipps at Barker EB - #1095 → Barker at Kipps NS NB - #2787 → Kipps at Arbour Glen EB - #1094 → Kipps at Briarhill EB - #1097 → Briarhill north of Melsandra SB - #302 → Melsandra at Briarhill WB - #1170 → McNay at Melsandra SB - #1159 → Sandford North of Huron SB - #1624 → Oxford at Third WB - #1353 → Third South of Oxford SB - #2600 → 1990 Wavell SB - #1905 → Wavell at Castle Dr WB - #1897 → Wavell at Castle Dr EB - #1896 → Marconi at Trafalgar NB - #2670,21,18.7
Route_8,ADELADA1 → WELLGRA1 → BRUCMARL → BRUCWORT → EDWAELMW → WHARELM1 → WHARELM2 → HORTWHA3 → HORTWHA4 → RIVEWOO2 → RIVEBRIT → RIVEMURD → RIVEBEA2 → SPRICHEL → BERKBER1 → BERKGAR1 → SPRIJAR1 → SPRIQUI1 → SPRIQUI2 → BERKBER2 → BERKGAR4 → GARDBER1 → BERKGAR2 → EMERRIDG → CATHBASE,Adelaide at Ada NB - #20 → Wellington at Grand Ave NB - #1942 → Bruce at Marley Place EB - #303 → Bruce at Wortley EB - #304 → Edward at Elmwood SB - #634 → Wharncliffe at Elmwood NB - #2031 → Wharncliffe at Elmwood SB - #2032 → Horton west of Wharncliffe EB - #981 → Horton west of Wharncliffe 2 WB - #982 → Riverside at Woodward WB - #1607 → Riverside at Britannia WB - #1569 → Riverside at Murdock EB - #1588 → Riverside east of Beaverbrook WB - #1565 → Springbank at Chelsea WB - #1732 → Berkshire at Berkshire Place NB - #2195 → Berkshire at Gardenwood NB - #240 → Springbank at Jarvis St EB - #1740 → Springbank at Quinella EB - #1746 → Springbank at Quinella WB - #1747 → Berkshire at Berkshire Place SB - #2196 → Berkshire north of Gardenwood SB - #241 → Gardenwood at Berkshire NB - #759 → Berkshire south of Gardenwood SB - #2198 → Emery at Ridgewood WB - #2220 → Cathcart at Baseline NB - #331,25,15.81
Route_9,ADELADA1 → WELLBAS1 → JALNERN3 → ERNEMUR3 → BRADERN1 → JALNMEG → JALNERN5 → JALNERN4 → ERNESCO2 → ERNESCO1 → ERNEFINC → BRADJALN → BRADERN2 → WELLMCL1,Adelaide at Ada NB - #20 → Wellington South of Baseline NB - #1923 → Jalna at Ernest north EB - #1055 → Ernest at Muriel NB - #666 → Bradley west of Ernest WB - #2790 → Jalna at Meg WB - #1063 → Jalna at Ernest south EB - #1057 → Jalna at Ernest south WB - #1056 → Ernest at Scotchmere NB - #669 → Ernest at Scotchmere SB - #668 → Ernest at Finch SB - #661 → Bradley at Jalna EB - #296 → Bradley west of Ernest 2 WB - #2791 → Wellington at McClary AVE NB - #1950,14,12.07
Route_10,ADELADA1 → BRADPOM1 → PONDBRA2 → PONDBRA4 → PONDBUC4 → PONDENT2 → ENTEPOM1 → ENTEMID1 → ENTEHUBR → HUBRENT4 → HUBRWIL2 → WILTMIDP → WILTPMI4 → WILTPMI2 → NEWBTOWE → NEWBCON1 → ASHBSUR2 → ASHBMIL2 → ASHBMIL1 → BRADMIL2 → BRADMIL1 → NEWBBRA1 → MILLBEX3 → MILLBEX4 → MILLBEX1,Adelaide at Ada NB - #20 → Bradley at Pond Mills EB - #2970 → Pond Mills south of Bradley SB - #1402 → Pond Mills south of Bradley 2 SB - #2262 → Pond Mills at Buchanan SB - #1405 → Pond Mills at Enterprise SB - #1413 → Enterprise at Pond Mills EB - #653 → Enterprise at Midpark EB - #652 → Enterprise at Hubrey EB - #651 → Hubrey at Enterprise south SB - #988 → Hubrey at Wilton Grove SB - #989 → Wilton Grove & Midpark Rd WB - #2297 → Wilton Grove East of Pondmills WB - #2300 → Wilton Grove West of Pond Mills WB - #2299 → Newbold at Towerline EB - #1232 → Newbold at Consortium EB - #1231 → Ashbury at Surrey Cres SB - #171 → Ashbury at Millbank WB - #169 → Ashbury at Millbank EB - #168 → Bradley at Millbank WB - #2968 → Bradley at Millbank EB - #2967 → Newbold at Bradley NB - #2335 → Millbank at Bexhill  NB - #1177 → 720 Millbank - #1178 → 687 Millbank - #1175,25,14.28
