route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → FLORKEL1 → HIGBLPH2 → CLARSTR → OAKVTILI → HUROSAN1 → HUROWEB2 → HUROWEB1 → HUROHIG3 → HUROHIG2 → HUROWEDG → WINDADE1 → UNIVSUN1 → RICHVIC2 → RICHRAY2 → ADELWIN1 → GLENRID2 → ADELGLE1 → WINDADE2 → WINDDOO3 → WINDDOO4 → MELSBRIA → MCNAVIC2 → DUNDREC2 → ADELADA1,Adelaide at Ada NB - #20 → Florence at Kellogg Lane EB - #744 → Highbury at Corrine SB - #920 → Clarke at Stronach Crescent SB - #2936 → Oakville at Tilipe NB - #1246 → Huron at Sandford EB - #1015 → Huron at Webster WB - #1022 → Huron at Webster Stop 1 EB - #1021 → Huron east of Highbury EB - #1009 → Huron east of Highbury WB - #1008 → Huron at Wedgewood WB - #1024 → 703 Windermere EB - #2076 → University Dr at Sunset EB - #1820 → Richmond at Victoria SB - #1515 → Richmond at Raymond SB - #1503 → Adelaide at Windermere NB - #89 → Glenora at Rideau WB - #2475 → Adelaide at Glenora SB - #2779 → Windermere at Adelaide WB - #2077 → 655 - 665 Windermere EB - #2081 → Windermere at Doon Dr 1 WB - #2082 → Melsandra at Briarhill WB - #1170 → McNay at Victoria SB - #1163 → Dundas at Rectory WB - #597 → Adelaide at Ada NB - #20,25,29.96
Route_2,ADELADA1 → OXFOSTRA → CHEABOU2 → GRENMIDA → PHILBIL3 → GRENADEL → SUNNRICH → SUNNVIL1 → 1985RIC1 → 1985RICH → HASTVIR2 → RICHWES2 → WESTWIN1 → WINDRIC1 → WINDRIC2 → WINDTAL1 → ADELBLAC → COLBGRO2 → RICHJAM2 → ADELADA1,Adelaide at Ada NB - #20 → Oxford at Strand EB - #1348 → Cheapside at Boullee WB - #350 → Grenfell at Midale WB - #803 → Phillbrook at Billybrook NB 2 - #2714 → Grenfell at Adelaide WB - #800 → Sunningdale at Richmond NS EB - #2881 → Sunningdale at Village Walk FS WB - #2882 → Opp 1985 Richmond NB - #2773 → 1985 Richmond SB - #2774 → Hastings at Virginia SB - #2233 → Richmond at Western SB - #1518 → Windermere at Western EB - #2772 → Windermere at Richmond EB - #2083 → Windermere at Richmond  WB - #2084 → Windermere at Tallwood EB - #2085 → Adelaide at Blackwater SB - #2693 → Colborne at Grosvenor NB - #2798 → Richmond at St. James SB - #1487 → Adelaide at Ada NB - #20,20,29.99
Route_3,ADELADA1 → KINGBUR4 → OXFORAT2 → RICHMILL → RICHOXF1 → MEADQUAR → FANSGLE3 → FANSMCL3 → KIPPADEL → KIPPADE1 → GRENDEVO → BARKKIPP → BARKHUR1 → CHEABRA1 → ADELADA1,Adelaide at Ada NB - #20 → King at Burwell Station WB - #2978 → Oxford at Rathowen WB - #1332 → Richmond at Mill SB - #1493 → Richmond at Oxford NB - #1494 → Meadowlands at Quarrier NB - #2854 → Fanshawe at Glenora EB - #2469 → Fanshawe at Stackhouse EB - #2470 → Kipps at Adelaide EB - #1093 → Kipps at Adelaide WB - #2850 → Grenfell at Devos WB - #2845 → Barker at Kipps NS NB - #2787 → Barker at Huron NB - #2786 → Cheapside at Brampton EB - #351 → Adelaide at Ada NB - #20,15,29.34
Route_4,ADELADA1 → RIDOCRA2 → WHARBAS1 → BASECOTS → EXETMEA2 → BRADJAL1 → BRADERN1 → BRADERN2 → BRADADE2 → NEWBADE1 → WILTSIS4 → WILTPMI2 → ENTEPOM1 → WELLEXE2 → HUBRENT4 → HUBRWIL2 → COMMGLOB → PONDMIR4 → ADELADA1,Adelaide at Ada NB - #20 → Ridout at Craig SB - #1538 → Wharncliffe & Base Line FS NB - #2015 → Base Line at Cotswold WB - #2605 → Exeter at Meadowbrook NS WB - #2823 → Bradley at Jalna FS EB - West Leg - #2792 → Bradley west of Ernest WB - #2790 → Bradley west of Ernest 2 WB - #2791 → Bradley at Adelaide  WB - #292 → Newbold at Adelaide EB - #1228 → Wilton Grove at Sise Rd WB - #2075 → Wilton Grove West of Pond Mills WB - #2299 → Enterprise at Pond Mills EB - #653 → Wellington at Exeter SB - #1941 → Hubrey at Enterprise south SB - #988 → Hubrey at Wilton Grove SB - #989 → Commerce at Global NB - #2612 → 492 Pond Mills - #1418 → Adelaide at Ada NB - #20,19,29.62
Route_5,ADELADA1 → HAMIMAME → HAMILTGR → MORNGLAS → CULVCUL2 → THIROXF1 → TRAFCLA4 → ADMITRA2 → WAVEDUN6 → WAVEEDM1 → WAVEVANC → WAVESASK → BRYDCORN → HIGBCHE2 → OXFOSEC2 → ADELPIC1 → RICHKEN1 → RICHKEN2 → ADELADA1,Adelaide at Ada NB - #20 → Hamilton at Mamelon EB - #865 → Hamilton at Little Grey WB - #863 → Mornington at Glasgow WB - #1210 → Culver at Culver Court WB - #2313 → Third at Oxford NB - #1771 → Trafalgar West of Clarke Rd WB - #1793 → Admiral at Trafalgar NB - #2635 → Wavell at Dundas SB - #1906 → Wavell at Edmonton St EB - #1907 → Wavell at Vancouver St. EB - #1916 → Wavell at Saskatoon St WB - #1915 → Brydges at Cornish EB - #2207 → Highbury at Cheapside SB - #899 → Oxford at Fanshawe College Blvd WB - #1344 → Adelaide at Piccadilly NB - #70 → Richmond at Angel NB - #1488 → Richmond at Kent SB - #1489 → Adelaide at Ada NB - #20,19,26.21
Route_6,ADELADA1 → HORTWHA2 → FANSDAL2 → AMBEWTHA → AMBEHESK → AMBEHILL → AZIZWEST → HYDEGAI1 → QUEERIC1 → ADELADA1,Adelaide at Ada NB - #20 → Horton west of Wharncliffe WB - #980 → Fanshawe at Dalmagarry EB - #2614 → Ambleside at Whitehaven NS SB - #2784 → Ambleside at Hesketh NS SB - #2782 → Ambleside at Hillside NS SB - #2783 → Philip Aziz at Western NB - #2785 → Hyde Park at Gainsborough NB - #2397 → Queens at Richmond 1 WB - #2737 → Adelaide at Ada NB - #20,10,29.85
Route_7,ADELADA1 → OXFOCOL2 → OXFOELI1 → ADELREG1 → PINNPLNE → 517FANS1 → WONDALD1 → WONDWHI1 → WONDSER2 → BLACHOM2 → WONDLAW2 → WONDLAW1 → WONDSAR5 → ALDERAN1 → AMBEGRAN → AMBECORL → DOONRAV4 → ADELHUR1 → OXFOCLE1 → ADELADA1,Adelaide at Ada NB - #20 → Oxford at Colborne WB - #1281 → Oxford at Elizabeth EB - #1285 → Adelaide at Regent NB - #74 → Pinnacle at Plane Tree NS NB - #2861 → Opp 517 Fanshawe Park Rd EB - #2979 → Wonderland at Aldersbrook NB - #2980 → Wonderland at Whiteacres NB - #2989 → Sherwood Forest Mall SB - #2988 → Blackacres at Hawthorne NB - #265 → Wonderland at Lawson SB - #2986 → Wonderland at Lawson NB - #2985 → Wonderland North of Sarnia NB - #2987 → Aldersbrook at Ranchwood NB - #132 → Ambleside at Grangeover Cres NS SB - #2781 → Ambleside at Corley FS SB - #2780 → Doon at Ravine Ridge Cres WB - #524 → Adelaide at Huron  NB - #39 → Oxford at Clemens EB - #1278 → Adelaide at Ada NB - #20,20,29.9
Route_8,ADELADA1 → HIGBWIL2 → DUNDMANI → OXFOQUE1 → OXFOQUE2 → FANSSTAC → PHILBILL → SOWESAV2 → SOWESAV1 → HIGHTOW1 → FULLVES2 → HUROADE6 → WELLSOU1 → ADELADA1,Adelaide at Ada NB - #20 → Highbury at Wilton SB - #929 → Dundas at Calgary EB - #587 → Oxford at Quebec EB - #1329 → Oxford at Quebec WB - #1330 → Fanshawe at Stackhouse WB - #2734 → Phillbrook at Billybrook - #2352 → South Wenige Between Savannah & Nicole WB - #1726 → South Wenige at Savannah Dr SB - #1725 → Highbury at Townsend NB - #2712 → Fuller at Vesta WB - #752 → 648 Huron - #998 → Wellington at  South St NB - #1968 → Adelaide at Ada NB - #20,14,28.03
Route_9,ADELADA1 → HORTWAT2 → HUROCOLB → HIGBGOD1 → DUNDEAS3 → CLARFIS1 → CLARCHA2 → TRAFATK2 → MARCWOOD → SOVETRA1 → HUDSJOLI → HUDSFROB → HUDSBAFF → HUDSTRAF → GOREBRAE → MONTTWE2 → ADELADA1,Adelaide at Ada NB - #20 → Horton at Waterloo WB - #977 → Huron at Colborne EB - #1005 → Highbury at Godfrey NB - #907 → Dundas east of Eastwood EB - #557 → Clarke at Firestone NB - #404 → Clarke at Charterhouse SB - #396 → Trafalgar at Atkinson WB - #1788 → Marconi at Woodview WB - #2671 → Sovereign at Trafalgar NB - #1721 → Hudson at Joliet NB - #992 → Hudson at Frobisher EB - #991 → Hudson at Baffin Place EB - #990 → Hudson at Trafalgar NB - #993 → Gore at Braeside WB - #783 → Montabello at Tweedsmuir SB - #2673 → Adelaide at Ada NB - #20,17,27.22
Route_10,ADELADA1 → GREYCOLB → WELLHOR1 → WELLHOR2 → WHARTEC1 → SPRIBER3 → SPRIBER1 → WESTMAL2 → WHARCOM1 → WHARLEGE → COLTBROA → ERNEPAUL → ERNEMUR3 → JALNBRA7 → SOUTVER1 → SOUTWEL2 → ADELADA1,Adelaide at Ada NB - #20 → Grey at Colborne WB - #804 → Wellington at Horton Station NB - #1947 → Wellington at Horton Station SB - #1948 → Wharncliffe at Tecumseh NB - #2054 → 492 Springbank EB - #1729 → Springbank at Berkshire Dr FS 1 EB - #1728 → Westmount Mall at Stop 2 - #1998 → Wharncliffe at Commissioners NB - #2026 → Wharncliffe & Legendary FS SB - #2593 → Col Talbot at Broadway NB - #2508 → Ernest at Pauline SB - #667 → Ernest at Muriel NB - #666 → Jalna south of Bradley NB - #2242 → Southdale at Verulam EB - #1700 → Southdale at Wellington  WB - #1704 → Adelaide at Ada NB - #20,17,29.7
