route_id,stops,stop_names,num_stops,total_distance_km
Route_1,ADELADA1 → JALNERI1 → WHITEXE3 → EXETWHIT → BRADJAL1 → BRADERN2,Adelaide at Ada NB - #20 → Jalna at Erica NB - #1051 → White Oak Road at Exeter NS 2 SB - #2905 → Exeter at White Oak Road WB - #2827 → Bradley at Jalna FS EB - West Leg - #2792 → Bradley west of Ernest 2 WB - #2791,6,12.33
Route_2,ADELADA1 → TRAFSTE2 → TRAFSTE1 → TRAFTHO2 → TRAFTHO1 → TRAFVAN2 → TRAFVAN1 → TRAFBALF → CLARCHA1 → CLARCHA2 → CLARCHA3 → MARCNOEL → MARCNOE2 → NOELBOW → BOWBANC → HUDSBAFF → HUDSFROB → HUDSTRAF → RAILDAYB → BONATRA2 → WEXFADM2 → WEXFROY1 → ROYACAS1,Adelaide at Ada NB - #20 → Trafalgar at Stevenson Ave WB - #1800 → Trafalgar at Stevenson Ave EB - #1799 → Trafalgar at Thorne WB - #1802 → Trafalgar at Thorne Ave EB - #1801 → Trafalgar at Vancouver  WB - #1804 → Trafalgar at Vancouver  EB - #1803 → Trafalgar at Balfour Place EB - #1789 → Clarke at Charterhouse NB - #395 → Clarke at Charterhouse SB - #396 → Marconi Club NB - #397 → Marconi at Noel SB - #1137 → Marconi at Noel NB - #2668 → Noel at Bow EB - #1238 → Bow at Bancroft EB - #290 → Hudson at Baffin Place EB - #990 → Hudson at Frobisher EB - #991 → Hudson at Trafalgar NB - #993 → Railton at Daybreak SB - #2267 → Bonaventure at Trafalgar SB - #287 → Wexford & Admiral NB - #2677 → Wexford at Royal Cr NB - #2010 → Royal at Castle EB - #1609,23,14.05
Route_3,ADELADA1 → ADELSJA1 → ADELSJA2 → ADELGRO2 → ADELGRO1 → ADELCHE2 → CHEAADE2 → ADELCHE1 → CHEAADE1 → CHEAADE4 → CHEABRA2 → CHEABRA1 → HUROBARK → MELSBRIA → BRIAHURO → MCNAROC2 → MCNAVIC1 → MCNAVIC3 → CHEABOU2 → CHEABOU1 → CHEABARK → CHEASTER → OXFOGAM2 → OXFOGAM1,Adelaide at Ada NB - #20 → Adelaide at St. James NB - #78 → Adelaide at St. James SB - #79 → Adelaide at Grosvenor SB - #35 → Adelaide at Grosvenor NB - #34 → Adelaide at Cheapside SB - #25 → Cheapside west of Adelaide WB - #345 → Adelaide at Cheapside NB - #24 → Cheapside at Adelaide EB - #344 → Cheapside east of Adelaide WB - #346 → Cheapside at Elliott WB - #2209 → Cheapside at Brampton EB - #351 → Huron at Barker WB - #999 → Melsandra at Briarhill WB - #1170 → Briarhill at Huron SB - #300 → McNay at Rock SB - #1161 → McNay north of Victoria NB - #1162 → McNay south of Victoria NB - #1164 → Cheapside at Boullee WB - #350 → Cheapside at Boullee EB - #349 → Cheapside at Barker EB - #348 → Cheapside at Sterling WB - #361 → Oxford at Gammage WB - #1297 → Oxford at Gammage EB - #1296,24,11.43
Route_4,ADELADA1 → ERNEPAUL → ERNEBRA2 → BRADERN1 → ERNECON2 → ERNECON1 → ERNEFEN2 → ERNEFEN1 → ERNEFINC → JALNFAI2 → JALNFAI1 → WHITDOWE → WHITDOW2 → WHITDOW1,Adelaide at Ada NB - #20 → Ernest at Pauline SB - #667 → Ernest at Bradley SB - #655 → Bradley west of Ernest WB - #2790 → Ernest at Conway SB - #657 → Ernest at Conway NB - #656 → Ernest at Fennel SB - #660 → Ernest at Fennel NB - #659 → Ernest at Finch SB - #661 → Jalna at Fairchild WB - #1059 → 1559 Jalna NB - #1058 → White Oak Road at Dowell NS NB - #2902 → White Oak Road at Dowell NS SB - #2901 → White Oak Road at Dowell FS NB - #2900,14,12.21
Route_5,ADELADA1 → WOODEDI1 → OXFOCHE3 → OXFOCHE1 → OXFOBEA4 → PROUFAR1 → PROUBEA3 → BEAVPROU → BEAVHORI → BEAVHOR2 → BEAVWOND → WONDBEA2 → PROUFAR2 → PROUOXF1 → PROUOXF2 → PROUOXF3 → OXFOPRO1 → OXFOPRO2 → OXFOBEA2 → OXFOBEA1 → BEAVOXF1 → BEAVOXF2,Adelaide at Ada NB - #20 → Woodward at Edinburgh  NB - #2142 → Oxford at Cherryhill Blvd EB - #1272 → Chelsey Park Retirement Home - #1270 → Oxford east of Beaverbrook WB - #1265 → Proudfoot north of Farrah NB - #1427 → Proudfoot at Beaverbrook SB - #1425 → Beaverbrook at Proudfoot EB - #2418 → Beaverbrook at Horizon WB - #225 → Beaverbrook at Horizon EB - #2417 → Beaverbrook at Wonderland WB - #228 → Wonderland at Beaverbrook Ave SB - #2098 → Proudfoot at Farrah SB - #1428 → Proudfoot north of Oxford NB - #1430 → Proudfoot at Oxford SB - #1431 → Proudfoot south of Oxford NB - #1432 → Oxford at Proudfoot Lane EB - #1327 → Oxford at Proudfoot WB - #1328 → Oxford west of Beaverbrook WB - #1264 → Oxford at Beaverbrook EB - #1263 → Beaverbrook at Oxford NB - #226 → Beaverbrook at Oxford SB - #227,22,12.52
Route_6,ADELADA1 → BRADWOPS → ERNESCO1 → ERNESCO2 → JALNERN4 → JALNERN5 → MEGEXE1 → MEGEXE2 → JALNMEG → EXETMEG → EXETSHOL → SHOLEXE2 → SHOLEXE1 → SHOLJAL1 → SHOLJAL2 → JALNPIER → WHOKMASB → JALNBRA4 → JALNBRA1,Adelaide at Ada NB - #20 → White Oaks Elementary School - #2206 → Ernest at Scotchmere SB - #668 → Ernest at Scotchmere NB - #669 → Jalna at Ernest south WB - #1056 → Jalna at Ernest south EB - #1057 → Meg at Exeter NB - #1168 → Meg at Exeter SB - #1169 → Jalna at Meg WB - #1063 → Exeter at Meg EB - #670 → Exeter at Sholto WB - #671 → Sholto at Exeter SB - #1659 → Sholto at Exeter NB - #1658 → Sholto at Jalna Blvd NB - #1660 → Jalna at Archer N Leg SB - #1661 → Jalna at Piers NB - #1064 → Jalna at White Oaks Mall SB - #2296 → Jalna south of Bradley SB - #1047 → 1102 Jalna - #1044,19,11.96
Route_7,ADELADA1 → KINGCHI2 → PONDBAN2 → PONDBAN1 → DEVEPOND → PONDDEV1 → PONDDEV4 → WHITOMA3 → WELLDEAR → MILLSDA2 → MILLSDA1 → MILLEBU2 → MILLDOWN → MILLSTAN → MILLEBU4 → MILLSHA4 → MILLSHA3 → MILLPAR1 → MILLPAR2,Adelaide at Ada NB - #20 → King Edward at Chippendale SB - #1079 → Pond Mills at Banbury SB - #1401 → Pond Mills at Banbury NB - #1400 → Deveron at Pond Mills EB - #2819 → Pond Mills at Deveron NB - #2264 → Pond Mills south of Deveron SB - #1411 → White Oaks Mall Stop 3 - #2060 → Wellington at Dearness NB - #1935 → Millbank at Southdale SB - #1189 → Millbank at Southdale NB - #1188 → 131 Millbank - #1183 → Millbank at Downing NB - #1180 → Millbank at Stanhope NB - #1195 → Millbank at Ebury SB - #1184 → Millbank at Shaftsbury west SB - #1194 → Millbank at Shaftsbury NB - #1193 → Millbank at Parliament EB - #1186 → Millbank at Parliament WB - #1187,19,12.3
Route_8,ADELADA1 → BASEWES3 → BEACBAS1 → BEACBAS2 → BERKTOP2 → WONDROSE → SPRIQUI1 → SPRIQUI2 → SPRIJAR2 → WONDCOM3 → WONDCOM2 → WONDCOM1 → COMMFOE2 → COMMFOE1 → COMMTOP1 → COMMTOP2 → TOPPCOM1 → COMMBEA3 → COMMBEA2 → COMMBEA1 → ANDOCOM2 → ANDOCOM1 → COMMAND1,Adelaide at Ada NB - #20 → Base Line west of West St  EB - #213 → Beachwood at Base Line NB - #222 → Beachwood at Base Line SB - #223 → Berkshire at Topping Lane SB - #247 → Wonderland at Rosecliffe Terr. SB - #2124 → Springbank at Quinella EB - #1746 → Springbank at Quinella WB - #1747 → Springbank at Jarvis St WB - #1741 → Wonderland North of Commissioners NB - #2102 → Wonderland at Commissioners SB - #2101 → Wonderland South of Commissioners NB - #2100 → Commissioners at Forest Edge EB - #2465 → Commissioners at Forest Edge WB - #2464 → Commissioners at Topping Lane WB - #2466 → Commissioners at Topping Lane EB - #2467 → Topping Lane at Commissioners NB - #2770 → 353 Commissioners - #2463 → Commissioners west of Beachwood EB - #2462 → Commissioners at Beachwood WB - #2461 → Andover at Commissioners SB - #155 → Andover at Commissioners NB - #154 → Commissioners at Andover EB - #2758,23,13.86
Route_9,ADELADA1 → DOWASH2 → DOWASH1 → ASHBSUR1 → ASHBSUR2 → WILTSIS4 → SISEGVA2 → ASHBMIL2 → ASHBMIL1 → BRADMIL2 → BRADMIL1 → NEWBBRA1 → NEWBTOWE → NEWBCON1 → NEWBADE1 → VICTMUBU,Adelaide at Ada NB - #20 → Dow at Ashbury WB - #529 → Dow at Ashbury EB - #528 → Ashbury at Surrey Cres NB - #170 → Ashbury at Surrey Cres SB - #171 → Wilton Grove at Sise Rd WB - #2075 → Sise at Green Valley NS SB - #2490 → Ashbury at Millbank WB - #169 → Ashbury at Millbank EB - #168 → Bradley at Millbank WB - #2968 → Bradley at Millbank EB - #2967 → Newbold at Bradley NB - #2335 → Newbold at Towerline EB - #1232 → Newbold at Consortium EB - #1231 → Newbold at Adelaide EB - #1228 → Victoria Hospital at Medical Unit Building - #1856,16,13.38
Route_10,ADELADA1 → CHEAMAI1 → CHEAMAI2 → REGEMAIT → MAITREGE → HUROFRAS → HUROCOLB → HUROWAT2 → HUROWAT1 → RICHUNI1 → RICHUNI2,Adelaide at Ada NB - #20 → Cheapside at Maitland EB - #357 → Cheapside at Maitland WB - #358 → Regent at Maitland WB - #1455 → Maitland at Regent SB - #1132 → Huron at Fraser WB - #1006 → Huron at Colborne EB - #1005 → Huron at Waterloo WB - #1020 → Huron at Waterloo EB - #1019 → Richmond at University NB - #1512 → Richmond at University SB - #1513,11,10.39
